sim_type,rmse
cosine similarity,0.10862750222193154
cosine similarity,0.10855602784995436
cosine similarity,0.14258311819744396
cosine similarity,0.10513969116717845
cosine similarity,0.11393957273723036
cosine similarity,0.1497262941869151
cosine similarity,0.12987502824975003
cosine similarity,0.12452973680351223
cosine similarity,0.10293772272776963
cosine similarity,0.13794515615139097
cosine similarity,0.11489233473251931
cosine similarity,0.14216215914329738
cosine similarity,0.12872586924157695
cosine similarity,0.1264024142238595
cosine similarity,0.1107267935933266
cosine similarity,0.10992087877305498
cosine similarity,0.14807187342271108
cosine similarity,0.1420543788750159
cosine similarity,0.1537804158885811
cosine similarity,0.17763530111263012
cosine similarity,0.11913669238457468
cosine similarity,0.14493585959817376
cosine similarity,0.12813449952870157
cosine similarity,0.11387903825432397
cosine similarity,0.14459552568416337
cosine similarity,0.12278521464420634
cosine similarity,0.14726779666671463
cosine similarity,0.11428542879962063
cosine similarity,0.10833362780623582
cosine similarity,0.19638506713114834
pearson correlation,0.10779171326383152
pearson correlation,0.0997382846940496
pearson correlation,0.104685941695947
pearson correlation,0.12043086086512582
pearson correlation,0.11991261170984596
pearson correlation,0.16872040255135434
pearson correlation,0.12018315123783052
pearson correlation,0.1333220336756
pearson correlation,0.09729358527784966
pearson correlation,0.1193711471989315
pearson correlation,0.10884405400639846
pearson correlation,0.12306634688625726
pearson correlation,0.12130368610791269
pearson correlation,0.0965872298771265
pearson correlation,0.13567180252748212
pearson correlation,0.12886417714710108
pearson correlation,0.13632827722369822
pearson correlation,0.10302209462486034
pearson correlation,0.12440377296690595
pearson correlation,0.15586835431101917
pearson correlation,0.1204208766728777
pearson correlation,0.09891838394004607
pearson correlation,0.10903809165942036
pearson correlation,0.1025726839571323
pearson correlation,0.12382076154767506
pearson correlation,0.10568795396098052
pearson correlation,0.12825305412367688
pearson correlation,0.11714575683984435
pearson correlation,0.11887560551520508
pearson correlation,0.14893383051247192
